repo,query_type,api_type,trial,response_time_ms,response_size_bytes
react/react,complex,rest,3,10160.595,199546
react/react,complex,graphql,4,1057.93,33199
react/react,complex,rest,4,10100.914,199546
react/react,complex,graphql,5,897.427,33199
react/react,complex,rest,5,10646.823,199546
obra/superpowers,simple,graphql,1,634.429,462
obra/superpowers,simple,rest,1,405.526,5276
obra/superpowers,simple,graphql,2,848.749,462
obra/superpowers,simple,rest,2,411.092,5276
obra/superpowers,simple,graphql,3,607.09,462
obra/superpowers,simple,rest,3,392.239,5276
obra/superpowers,simple,graphql,4,636.859,462
obra/superpowers,simple,rest,4,399.553,5276
obra/superpowers,simple,graphql,5,621.968,462
obra/superpowers,simple,rest,5,393.594,5276
obra/superpowers,medium,graphql,1,576.047,5179
obra/superpowers,medium,rest,1,1047.377,147782
obra/superpowers,medium,graphql,2,531.993,5179
obra/superpowers,medium,rest,2,1078.685,147782
obra/superpowers,medium,graphql,3,536.593,5179
obra/superpowers,medium,rest,3,1335.818,147782
obra/superpowers,medium,graphql,4,532.453,5179
obra/superpowers,medium,rest,4,1034.632,147782
obra/superpowers,medium,graphql,5,520.167,5179
obra/superpowers,medium,rest,5,1091.633,147782
obra/superpowers,complex,graphql,1,1092.208,3792
obra/superpowers,complex,rest,1,8804.407,248572
obra/superpowers,complex,graphql,2,1184.713,3792
obra/superpowers,complex,rest,2,8997.222,248572
obra/superpowers,complex,graphql,3,743.252,3792
obra/superpowers,complex,rest,3,9455.127,248572
obra/superpowers,complex,graphql,4,809.068,3792
obra/superpowers,complex,rest,4,9678.917,248572
obra/superpowers,complex,graphql,5,1068.827,3792
obra/superpowers,complex,rest,5,8989.464,248572
torvalds/linux,simple,graphql,1,564.164,401
torvalds/linux,simple,rest,1,406.862,5079
torvalds/linux,simple,graphql,2,538.358,401
torvalds/linux,simple,rest,2,421.108,5079
torvalds/linux,simple,graphql,3,507.8,401
torvalds/linux,simple,rest,3,412.457,5079
torvalds/linux,simple,graphql,4,560.519,401
torvalds/linux,simple,rest,4,421.989,5079
torvalds/linux,simple,graphql,5,581.312,401
torvalds/linux,simple,rest,5,411.894,5079
torvalds/linux,medium,graphql,1,409.718,119
torvalds/linux,medium,rest,1,838.495,5081
torvalds/linux,medium,graphql,2,392.942,119
torvalds/linux,medium,rest,2,791.665,5081
torvalds/linux,medium,graphql,3,398.325,119
torvalds/linux,medium,rest,3,874.757,5081
torvalds/linux,medium,graphql,4,394.485,119
torvalds/linux,medium,rest,4,857.688,5081
torvalds/linux,medium,graphql,5,418.485,119
torvalds/linux,medium,rest,5,820.795,5081
torvalds/linux,complex,graphql,1,392.47,125
torvalds/linux,complex,graphql,2,392.638,125
torvalds/linux,complex,graphql,3,395.106,125
torvalds/linux,complex,graphql,4,393.735,125
torvalds/linux,complex,graphql,5,373.012,125
trimstray/the-book-of-secret-knowledge,simple,graphql,1,712.973,523
trimstray/the-book-of-secret-knowledge,simple,rest,1,427.971,6482
trimstray/the-book-of-secret-knowledge,simple,graphql,2,563.353,523
trimstray/the-book-of-secret-knowledge,simple,rest,2,391.172,6482
trimstray/the-book-of-secret-knowledge,simple,graphql,3,853.714,523
trimstray/the-book-of-secret-knowledge,simple,rest,3,415.047,6482
trimstray/the-book-of-secret-knowledge,simple,graphql,4,567.032,523
trimstray/the-book-of-secret-knowledge,simple,rest,4,389.595,6482
trimstray/the-book-of-secret-knowledge,simple,graphql,5,563.334,523
trimstray/the-book-of-secret-knowledge,simple,rest,5,444.197,6482
trimstray/the-book-of-secret-knowledge,medium,graphql,1,395.322,143
trimstray/the-book-of-secret-knowledge,medium,rest,1,1235.251,71747
trimstray/the-book-of-secret-knowledge,medium,graphql,2,385.495,143
trimstray/the-book-of-secret-knowledge,medium,rest,2,1097.37,71747
trimstray/the-book-of-secret-knowledge,medium,graphql,3,397.698,143
trimstray/the-book-of-secret-knowledge,medium,rest,3,1070.948,71747
trimstray/the-book-of-secret-knowledge,medium,graphql,4,401.081,143
trimstray/the-book-of-secret-knowledge,medium,rest,4,965.423,71747
trimstray/the-book-of-secret-knowledge,medium,graphql,5,357.522,143
trimstray/the-book-of-secret-knowledge,medium,rest,5,1144.384,71747
trimstray/the-book-of-secret-knowledge,complex,graphql,1,1317.702,6437
trimstray/the-book-of-secret-knowledge,complex,rest,1,9494.677,225453
